Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
152,550,152Cs,  ,-29130#      , 500#      ,            ,           ,  , , ,  17#    ,ms,        ,              ,18,1987, B- ?;B-n ?
152,560,152Ba,  ,-41610#      , 400#      ,            ,           ,  , , , 139     ,ms, 8      ,0+            ,17,2010, B-=100;B-n ?
152,570,152La,  ,-49290#      , 300#      ,            ,           ,  , , , 287     ,ms, 16     ,2-#           ,17,1994, B-=100;B-n ?
152,580,152Ce,  ,-58980#      , 200#      ,            ,           ,  , , ,   1.42  , s, 0.02   ,0+            ,13,1990, B-=100
152,590,152Pr,  ,-63758       ,  19       ,            ,           ,  , , ,   3.57  , s, 0.11   ,4+            ,13,1983, B-=100
152,591,152Pr,m ,-63643       ,  19       ,  115.1     ,   0.3     ,  , , ,   4.16  ,us, 0.10   ,(1+)          ,13,1990, IT=100
152,600,152Nd,  ,-70150       ,  24       ,            ,           ,  , , ,  11.4   , m, 0.2    ,0+            ,13,1969, B-=100
152,610,152Pm,  ,-71254       ,  26       ,            ,           ,  ,*, ,   4.12  , m, 0.08   ,1+            ,13,1958, B-=100
152,611,152Pm,m ,-71110       ,  80       ,  140       ,  90       ,BD,*, ,   7.52  , m, 0.08   ,4(-)          ,13,1971, B-=100
152,612,152Pm,n ,             ,           , non-exist  ,           ,EU, , ,  13.8   , m, 0.2    ,(8)           ,13,1971, B-=100;IT ?
152,620,152Sm,  ,-74763.0     ,   1.0     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,13,1933, IS=26.74 9
152,630,152Eu,  ,-72888.5     ,   1.2     ,            ,           ,  , , ,  13.517 , y, 0.006  ,3-*           ,13,1938, B+=72.08 13;B-=27.92 13
152,631,152Eu,m ,-72842.9     ,   1.2     ,   45.5998  ,   0.0004  ,  , , ,   9.3116, h, 0.0013 ,0-*           ,13,1958, B-=73 3;B+=27 3
152,632,152Eu,n ,-72823.2     ,   1.2     ,   65.2969  ,   0.0004  ,  , , , 940     ,ns, 80     ,1-            ,13,1978, IT=100
152,633,152Eu,p ,-72810.3     ,   1.2     ,   78.2331  ,   0.0004  ,  , , , 165     ,ns, 10     ,1+            ,13,1978, IT=100
152,634,152Eu,q ,-72798.7     ,   1.2     ,   89.8496  ,   0.0004  ,  , , , 384     ,ns, 10     ,4+            ,13,1970, IT=100
152,635,152Eu,r ,-72740.6     ,   1.2     ,  147.86    ,   0.10    ,  , , ,  95.8   , m, 0.4    ,8-            ,13,1963, IT=100
152,640,152Gd,  ,-74707.3     ,   1.0     ,            ,           ,  , , , 108     ,Ty, 8      ,0+            ,13,1938, IS=0.20 3;A=100;2B+ ?
152,650,152Tb,  ,-70720       ,  40       ,            ,           ,  , , ,  17.5   , h, 0.1    ,2-*           ,13,1959, B+=100;A ?
152,651,152Tb,m ,-70380       ,  40       ,  342.15    ,   0.16    ,  , , , 960     ,ns, 10     ,5-            ,13,1972, IT=100
152,652,152Tb,n ,-70220       ,  40       ,  501.74    ,   0.19    ,  , , ,   4.2   , m, 0.1    ,8+            ,13,1971, IT=78.9 6;B+=21.1 6
152,660,152Dy,  ,-70118       ,   5       ,            ,           ,  , , ,   2.38  , h, 0.02   ,0+            ,13,1958, EC=99.900 7;A=0.100 7
152,670,152Ho,  ,-63605       ,  13       ,            ,           ,  , , , 161.8   , s, 0.3    ,2-*           ,13,1963, B+=88 3;A=12 3
152,671,152Ho,m ,-63445       ,  13       ,  160       ,   3       ,AD, , ,  49.8   , s, 0.2    ,9+*           ,13,1963, B+=89.2 17;A=10.8 17
152,672,152Ho,n ,-60585       ,  13       , 3019.59    ,   0.19    ,  , , ,   8.4   ,us, 0.3    ,19-           ,13,1997, IT=100
152,680,152Er,  ,-60500       ,   9       ,            ,           ,  , , ,  10.3   , s, 0.1    ,0+            ,13,1963, A=90 4;B+=10 4
152,690,152Tm,  ,-51720       ,  50       ,            ,           ,  ,*, ,   8.0   , s, 1.0    ,(2)-          ,13,1980, B+=100
152,691,152Tm,m ,-51820       , 240       , -100       , 250       ,  ,*, ,   5.2   , s, 0.6    ,(9)+          ,13,1980, B+=100
152,692,152Tm,n ,-49270       , 250       , 2455       , 250       ,  , , , 301     ,ns, 7      ,(17+)         ,13,1986, IT=100
152,700,152Yb,  ,-46270       , 150       ,            ,           ,  , , ,   3.03  , s, 0.06   ,0+            ,13,1982, B+=100
152,701,152Yb,m ,-43530       , 150       , 2744.5     ,   1.0     ,  , , ,  30     ,us, 1      ,(10+)         ,13,1995, IT=100
152,710,152Lu,  ,-33420#      , 200#      ,            ,           ,  , , , 650     ,ms, 70     ,"(4-,5-,6-)    ",13,1987, B+=100;B+p=15 7
153,560,153Ba,  ,-36470#      , 400#      ,            ,           ,  , , , 113     ,ms, 39     ,5/2-#         ,20,2016, B-=100;B-n ?;B-2n ?
153,570,153La,  ,-46060#      , 300#      ,            ,           ,  , , , 245     ,ms, 18     ,1/2+#         ,20,1994, B-=100;B-n ?;B-2n ?
153,580,153Ce,  ,-54910#      , 200#      ,            ,           ,  , , , 865     ,ms, 25     ,3/2-#         ,20,1994, B-=100;B-n ?
153,590,153Pr,  ,-61568       ,  12       ,            ,           ,  , , ,   4.28  , s, 0.11   ,3/2-#         ,20,1987, B-=100;B-n ?
153,600,153Nd,  ,-67330.4     ,   2.7     ,            ,           ,  , , ,  31.6   , s, 1.0    ,(3/2)-        ,20,1987, B-=100
153,601,153Nd,m ,-67138.7     ,   2.7     ,  191.71    ,   0.16    ,  , , ,   1.10  ,us, 0.04   ,(5/2)+        ,20,1996, IT=100
153,610,153Pm,  ,-70648       ,   9       ,            ,           ,  , , ,   5.25  , m, 0.02   ,5/2-          ,20,1962, B-=100
153,620,153Sm,  ,-72560.1     ,   1.0     ,            ,           ,  , , ,  46.2846, h, 0.0023 ,3/2+*         ,20,1938, B-=100
153,621,153Sm,m ,-72461.7     ,   1.0     ,   98.39    ,   0.10    ,  , , ,  10.6   ,ms, 0.3    ,11/2-         ,20,1971, IT=100
153,630,153Eu,  ,-73367.5     ,   1.2     ,            ,           ,  , , , stbl    ,  , >550Py ,5/2+*         ,20,1933, IS=52.19 6
153,631,153Eu,m ,-71596.5     ,   1.3     , 1771.0     ,   0.4     ,  , , , 475     ,ns, 10     ,19/2-         ,20,2000, IT=100
153,640,153Gd,  ,-72882.9     ,   1.0     ,            ,           ,  , , , 240.6   , d, 0.7    ,3/2-*         ,20,1947, EC=100
153,641,153Gd,m ,-72787.7     ,   1.0     ,   95.1737  ,   0.0008  ,  , , ,   3.5   ,us, 0.4    ,9/2+          ,20,1979, IT=100
153,642,153Gd,n ,-72711.7     ,   1.0     ,  171.188   ,   0.004   ,  , , ,  76.0   ,us, 1.4    ,(11/2-)       ,20,1967, IT=100
153,650,153Tb,  ,-71314       ,   4       ,            ,           ,  , , ,   2.34  , d, 0.01   ,5/2+*         ,20,1957, B+=100
153,651,153Tb,m ,-71151       ,   4       ,  163.175   ,   0.005   ,  , , , 186     ,us, 4      ,11/2-         ,20,1965, IT=100
153,660,153Dy,  ,-69143       ,   4       ,            ,           ,  , , ,   6.4   , h, 0.1    ,7/2-*         ,20,1958, B+=99.9906 14;A=0.0094 14
153,670,153Ho,  ,-65012       ,   5       ,            ,           ,  , , ,   2.01  , m, 0.03   ,11/2-*        ,20,1963, B+=99.949 25;A=0.051 25
153,671,153Ho,m ,-64943       ,   5       ,   68.7     ,   0.3     ,  , , ,   9.3   , m, 0.5    ,1/2+*         ,20,1963, B+=99.82 8;A=0.18 8
153,672,153Ho,n ,-62240       ,   5       , 2772.3     ,   1.4     ,  , , , 229     ,ns, 2      ,31/2+         ,20,1980, IT=100
153,680,153Er,  ,-60467       ,   9       ,            ,           ,  , , ,  37.1   , s, 0.2    ,7/2-*         ,20,1963, A=53 3;B+=47 3
153,681,153Er,m ,-57669       ,   9       , 2798.2     ,   1.0     ,  , , , 373     ,ns, 9      ,(27/2-)       ,20,1979, IT=100
153,682,153Er,n ,-55219       ,   9       , 5248.1     ,   1.0     ,  , , , 248     ,ns, 32     ,(41/2-)       ,20,1979, IT=100
153,690,153Tm,  ,-53973       ,  12       ,            ,           ,  , , ,   1.48  , s, 0.01   ,(11/2-)       ,20,1964, A=91 3;B+=9 3
153,691,153Tm,m ,-53930       ,  12       ,   43.2     ,   0.2     ,  , , ,   2.5   , s, 0.2    ,(1/2+)        ,20,1988, A=92 3;B+=8 3
153,700,153Yb,  ,-47160#      , 200#      ,            ,           ,  , , ,   4.2   , s, 0.2    ,7/2-          ,20,1977, B+=?;A ?;B+p=0.008 2
153,701,153Yb,m ,-44530#      , 210#      , 2630#      ,  50#      ,  , , ,  15     ,us, 1      ,27/2-         ,20,1989, IT=100
153,710,153Lu,  ,-38380       , 150       ,            ,           ,  , , , 900     ,ms, 200    ,11/2-         ,20,1989, A=?;B+ ?;p=0
153,711,153Lu,m ,-38300       , 150       ,   80       ,   5       ,IT, , ,   1#    , s,        ,1/2+          ,20,1997, A ?;B+ ?;IT ?;p=0
153,712,153Lu,n ,-35880       , 150       , 2502.5     ,   0.4     ,  , , ,>100     ,ns,        ,23/2-         ,20,1993, IT=100
153,713,153Lu,p ,-35750       , 150       , 2632.9     ,   0.5     ,  , , ,  15     ,us, 3      ,27/2-         ,20,1993, IT=100
153,720,153Hf,  ,-27300#      , 300#      ,            ,           ,  , , , 400#    ,ms, >200ns ,1/2+#         ,20,2000, B+ ?
153,721,153Hf,m ,-26550#      , 320#      ,  750#      , 100#      ,  , , , 500#    ,ms,        ,11/2-#        ,,, B+ ?;IT ?
154,560,154Ba,  ,-32920#      , 500#      ,            ,           ,  , , ,  53     ,ms, 48     ,0+            ,17,2017, B-=100
154,570,154La,  ,-41530#      , 300#      ,            ,           ,  , , , 161     ,ms, 15     ,2-#           ,17,2017, B-=100;B-n ?;B-2n ?
154,580,154Ce,  ,-52220#      , 200#      ,            ,           ,  , , , 722     ,ms, 14     ,0+            ,17,1994, B-=100;B-n ?
154,590,154Pr,  ,-57860       , 100       ,            ,           ,  , , ,   2.30  , s, 0.09   ,(3+)          ,9,1988, B-=100;B-n ?
154,600,154Nd,  ,-65579.6     ,   1.0     ,            ,           ,  , , ,  25.9   , s, 0.2    ,0+            ,9,1970, B-=100
154,601,154Nd,m ,-64281.7     ,   1.1     , 1297.9     ,   0.4     ,  , , ,   3.2   ,us, 0.3    ,(4-)          ,9,1970, IT=100
154,610,154Pm,  ,-68267       ,  25       ,            ,           ,  ,*, ,   2.68  , m, 0.07   ,(4+)          ,9,1958, B-=100
154,611,154Pm,m ,-68490       ,  40       , -230       ,  50       ,IT,*, ,   1.73  , m, 0.10   ,(1-)          ,9,1958, B-=100
154,620,154Sm,  ,-72455.6     ,   1.3     ,            ,           ,  , , , stbl    ,  , >2.3Ey ,0+            ,9,1933, IS=22.74 14;2B- ?
154,630,154Eu,  ,-71738.4     ,   1.2     ,            ,           ,  , , ,   8.592 , y, 0.003  ,3-*           ,9,1947, B-=99.982 12;EC=0.018 12
154,631,154Eu,m ,-71670.2     ,   1.2     ,   68.1702  ,   0.0004  ,  , , ,   2.2   ,us, 0.1    ,2+            ,9,1964, IT=100
154,632,154Eu,n ,-71593.1     ,   1.2     ,  145.3     ,   0.3     ,  , , ,  46.3   , m, 0.4    ,(8-)          ,9,1975, IT=100
154,640,154Gd,  ,-73706.4     ,   1.0     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,9,1938, IS=2.18 2
154,650,154Tb,  ,-70160       ,  50       ,            ,           ,  ,*,&,   9.994 , h, 0.039  ,3-*           ,9,1972, B+=100;B- ?
154,651,154Tb,m ,-70030#      ,  70#      ,  130#      ,  50#      ,  ,*,&,  21.5   , h, 0.4    ,0-*           ,9,1950, B+~100;IT ?;B- ?
154,652,154Tb,n ,-69960#      , 160#      ,  200#      , 150#      ,  ,*, ,  22.7   , h, 0.5    ,7-            ,9,1972, B+~100;IT ?
154,653,154Tb,p ,-69760#      , 160#      ,  405#      , 150#      ,  , , , 513     ,ns, 42     ,              ,9,1982, IT=100
154,660,154Dy,  ,-70394       ,   7       ,            ,           ,  , , ,   3.0   ,My, 1.5    ,0+            ,9,1961, A=100;2B+ ?
154,670,154Ho,  ,-64639       ,   8       ,            ,           ,  , , ,  11.76  , m, 0.19   ,2-*           ,9,1966, B+=99.981 5;A=0.019 5
154,671,154Ho,m ,-64397       ,  27       ,  243       ,  28       ,AD, , ,   3.10  , m, 0.14   ,8+*           ,9,1968, B+=100;A<0.001;IT~0
154,680,154Er,  ,-62605       ,   5       ,            ,           ,  , , ,   3.73  , m, 0.09   ,0+            ,9,1963, B+~100;A=0.47 13
154,690,154Tm,  ,-54427       ,  14       ,            ,           ,  ,*, ,   8.1   , s, 0.3    ,(2)-          ,9,1964, A=54 5;B+=46 5
154,691,154Tm,m ,-54350       ,  50       ,   70       ,  50       ,BD,*, ,   3.30  , s, 0.07   ,(9)+          ,9,1964, A=58 5;B+=42 5;IT ?
154,700,154Yb,  ,-49932       ,  17       ,            ,           ,  , , , 409     ,ms, 2      ,0+            ,9,1964, A=92.6 12;B+=7.4 12
154,710,154Lu,  ,-39670#      , 200#      ,            ,           ,  , , ,   1#    , s,        ,(2-)          ,9,1981, B+ ?; A ?
154,711,154Lu,m ,-39600#      , 200#      ,   62       ,  12       ,AD, , ,   1.12  , s, 0.08   ,(9+)          ,9,1981, B+~100;B+p=?;B+A=?;A ?
154,712,154Lu,n ,-36950#      , 220#      , 2724#      , 100#      ,  , , ,  35     ,us, 3      ,(17+)         ,9,1990, IT=100
154,720,154Hf,  ,-32730#      , 300#      ,            ,           ,  , , ,   2     , s, 1      ,0+            ,9,1981, B+~100;A~0
154,721,154Hf,m ,-30010#      , 300#      , 2721#      ,  50#      ,  , , ,   9     ,us, 4      ,(10+)         ,9,1989, IT=100
155,570,155La,  ,-37930#      , 400#      ,            ,           ,  , , , 101     ,ms, 28     ,1/2+#         ,19,2016, B-=100;B-n ?;B-2n ?
155,580,155Ce,  ,-47780#      , 300#      ,            ,           ,  , , , 313     ,ms, 7      ,5/2-#         ,19,1994, B-=100;B-n ?
155,590,155Pr,  ,-55415       ,  17       ,            ,           ,  , , ,   1.47  , s, 0.3    ,3/2-#         ,19,1992, B-=100;B-n ?
155,600,155Nd,  ,-62284       ,   9       ,            ,           ,  , , ,   8.9   , s, 0.2    ,(3/2-)        ,19,1986, B-=100
155,610,155Pm,  ,-66940       ,   5       ,            ,           ,  , , ,  41.5   , s, 0.2    ,(5/2-)        ,19,1982, B-=100
155,620,155Sm,  ,-70191.2     ,   1.3     ,            ,           ,  , , ,  22.18  , m, 0.06   ,3/2-*         ,19,1951, B-=100
155,621,155Sm,m ,-70174.7     ,   1.3     ,   16.5467  ,   0.0019  ,  , , ,   2.8   ,us, 0.5    ,5/2+          ,19,2010, IT=100
155,622,155Sm,n ,-69653.2     ,   1.3     ,  538.03    ,   0.19    ,  , , ,   1.00  ,us, 0.08   ,11/2-         ,19,2010, IT=100
155,630,155Eu,  ,-71818.3     ,   1.3     ,            ,           ,  , , ,   4.742 , y, 0.008  ,5/2+*         ,19,1947, B-=100
155,640,155Gd,  ,-72070.3     ,   1.0     ,            ,           ,  , , , stbl    ,  ,        ,3/2-*         ,19,1933, IS=14.80 9
155,641,155Gd,m ,-71949.2     ,   1.0     ,  121.10    ,   0.19    ,  , , ,  31.97  ,ms, 0.27   ,11/2-         ,19,1967, IT=100
155,650,155Tb,  ,-71250       ,  10       ,            ,           ,  , , ,   5.32  , d, 0.06   ,3/2+*         ,19,1957, EC=100
155,660,155Dy,  ,-69156       ,  10       ,            ,           ,  , , ,   9.9   , h, 0.2    ,3/2-*         ,19,1958, B+=100
155,661,155Dy,m ,-68922       ,  10       ,  234.33    ,   0.03    ,  , , ,   6     ,us, 1      ,11/2-         ,19,1970, IT=100
155,670,155Ho,  ,-66040       ,  17       ,            ,           ,  , , ,  48     , m, 2      ,5/2+*         ,19,1959, B+=100
155,671,155Ho,m ,-65898       ,  17       ,  141.87    ,   0.11    ,  , , , 880     ,us, 80     ,11/2-         ,19,1984, IT=100
155,680,155Er,  ,-62209       ,   6       ,            ,           ,  , , ,   5.3   , m, 0.3    ,7/2-          ,19,1969, B+=99.978 7;A=0.022 7
155,690,155Tm,  ,-56626       ,  10       ,            ,           ,  , , ,  21.6   , s, 0.2    ,11/2-         ,19,1971, B+=99.17 17;A=0.83 17
155,691,155Tm,m ,-56585       ,  12       ,   41       ,   6       ,AD, , ,  45     , s, 4      ,1/2+          ,19,1990, B+~100;A ?
155,700,155Yb,  ,-50503       ,  17       ,            ,           ,  , , ,   1.793 , s, 0.020  ,(7/2-)        ,19,1964, A=89 5;B+=11 5
155,710,155Lu,  ,-42545       ,  19       ,            ,           ,  , , ,  68     ,ms, 2      ,11/2-         ,19,1965, A=90 2;B+=10 2
155,711,155Lu,m ,-42524       ,  20       ,   21       ,   4       ,AD, , , 138     ,ms, 9      ,1/2+          ,19,1967, A=76 16;B+=24 16
155,712,155Lu,n ,-40765       ,  19       , 1780.3     ,   1.8     ,AD, , ,   2.69  ,ms, 0.03   ,25/2-#        ,19,1981, A~100;IT ?
155,720,155Hf,  ,-34310#      , 300#      ,            ,           ,  , , , 843     ,ms, 30     ,7/2-#         ,19,1981, B+~100;A ?
155,730,155Ta,  ,-23990#      , 300#      ,            ,           ,  , , ,   3.2   ,ms, 1.3    ,11/2-         ,19,2007, p=100
156,570,156La,  ,-33050#      , 400#      ,            ,           ,  , , ,  84     ,ms, 78     ,4+#           ,17,2017, B-=100;B-n ?
156,580,156Ce,  ,-44820#      , 300#      ,            ,           ,  , , , 233     ,ms, 9      ,0+            ,17,2017, B-=100;B-n ?
156,590,156Pr,  ,-51449.3     ,   1.0     ,            ,           ,  , , , 444     ,ms, 6      ,1+#           ,17,1992, B-=100;B-n ?
156,600,156Nd,  ,-60202.1     ,   1.3     ,            ,           ,  , , ,   5.06  , s, 0.13   ,0+            ,12,1987, B-=100
156,601,156Nd,m ,-58770.8     ,   1.4     , 1431.3     ,   0.4     ,  , , , 365     ,ns, 145    ,(5-)          ,12,1998, IT=100
156,610,156Pm,  ,-64166.8     ,   1.2     ,            ,           ,  , , ,  27.4   , s, 0.5    ,4+            ,12,1986, B-=100
156,611,156Pm,m ,-64016.5     ,   1.2     ,  150.30    ,   0.10    ,  , , ,   2.3   , s, 2.0    ,1+#           ,12,2007, IT~98;B-~2
156,620,156Sm,  ,-69361       ,   9       ,            ,           ,  , , ,   9.4   , h, 0.2    ,0+            ,12,1951, B-=100
156,621,156Sm,m ,-67963       ,   9       , 1397.55    ,   0.09    ,  , , , 185     ,ns, 7      ,5-            ,12,1974, IT=100
156,630,156Eu,  ,-70083       ,   4       ,            ,           ,  , , ,  15.19  , d, 0.08   ,0+*           ,12,1947, B-=100
156,640,156Gd,  ,-72535.3     ,   1.0     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,12,1933, IS=20.47 3
156,641,156Gd,m ,-70397.7     ,   1.0     , 2137.60    ,   0.05    ,  , , ,   1.3   ,us, 0.1    ,7-            ,12,1969, IT=100
156,650,156Tb,  ,-70091       ,   4       ,            ,           ,  , , ,   5.35  , d, 0.10   ,3-*           ,12,1950, B+~100;B- ?
156,651,156Tb,m ,-70003       ,   4       ,   88.4     ,   0.2     ,  , , ,   5.3   , h, 0.2    ,(0+)          ,12,1950, IT=?;B+=?
156,652,156Tb,n ,-69990#      ,  50#      ,  100#      ,  50#      ,  , , ,  24.4   , h, 1.0    ,(7-)          ,12,1970, IT=?;B- ?
156,660,156Dy,  ,-70529.4     ,   1.0     ,            ,           ,  , , , stbl    ,  , >1Ey   ,0+            ,12,1948, IS=0.056 3;A ?;2B+ ?
156,670,156Ho,  ,-65540       ,  40       ,            ,           ,  , , ,  56     , m, 1      ,4-*           ,12,1957, B+=100
156,671,156Ho,m ,-65490       ,  40       ,   52.37    ,   0.30    ,  , , ,   9.5   , s, 1.5    ,1-*           ,12,1995, IT~100;B+ ?
156,672,156Ho,n ,-65304       ,  28       ,  230       ,  50       ,MD, , ,   7.6   , m, 0.3    ,9+            ,12,1975, B+~75;IT ?
156,680,156Er,  ,-64212       ,  25       ,            ,           ,  , , ,  19.5   , m, 1.0    ,0+            ,12,1967, B+=100;A=1.2e-5 3
156,690,156Tm,  ,-56834       ,  14       ,            ,           ,  , , ,  83.8   , s, 1.8    ,2-            ,12,1971, B+~100;A=0.064 10
156,691,156Tm,m ,-56430#      , 200#      ,  400#      , 200#      ,EU, , ,~400     ,ns,        ,(11-)         ,12,1985, IT=100
156,700,156Yb,  ,-53266       ,   9       ,            ,           ,  , , ,  26.1   , s, 0.7    ,0+            ,12,1970, B+=90 2;A=10 2
156,710,156Lu,  ,-43700       ,  50       ,            ,           ,  ,*, , 494     ,ms, 12     ,(2)-          ,12,1965, A=100;B+ ?
156,711,156Lu,m ,-43680       , 240       ,   10       , 250       ,  ,*, , 198     ,ms, 2      ,10+           ,12,1979, A~100;B+ ?
156,712,156Lu,n ,-41090       , 250       , 2611       , 250       ,  , , , 179     ,ns, 4      ,19-           ,,2018, IT=100
156,720,156Hf,  ,-37820       , 150       ,            ,           ,  , , ,  23     ,ms, 1      ,0+            ,12,1979, A~100;B+ ?
156,721,156Hf,m ,-35860       , 150       , 1958.8     ,   1.0     ,AD, , , 480     ,us, 40     ,(8+)          ,12,1979, A~100;IT ?
156,730,156Ta,  ,-26000#      , 300#      ,            ,           ,  , , , 106     ,ms, 4      ,(2-)          ,12,1992, p=71 3;B+=29 3
156,731,156Ta,m ,-25910#      , 300#      ,   94       ,   8       ,AD, , , 360     ,ms, 40     ,(9+)          ,12,1993, B+=95.8 9;p=4.2 9
157,570,157La,  ,-29070#      , 300#      ,            ,           ,  , , ,  30#    ,ms, >550ns ,1/2+#         ,,2018, B- ?;B-n ?
157,580,157Ce,  ,-39930#      , 400#      ,            ,           ,  , , , 175     ,ms, 41     ,7/2+#         ,17,2017, B-=100;B-n ?
157,590,157Pr,  ,-48435       ,   3       ,            ,           ,  , , , 307     ,ms, 21     ,3/2-#         ,17,2017, B-=100;B-n ?
157,600,157Nd,  ,-56494.1     ,   2.1     ,            ,           ,  , , ,   1.15  , s, 0.03   ,5/2-#         ,17,1992, B-=100
157,610,157Pm,  ,-62297       ,   7       ,            ,           ,  , , ,  10.56  , s, 0.10   ,(5/2-)        ,16,1987, B-=100
157,620,157Sm,  ,-66678       ,   4       ,            ,           ,  , , ,   8.03  , m, 0.07   ,3/2-#         ,16,1973, B-=100
157,630,157Eu,  ,-69459       ,   4       ,            ,           ,  , , ,  15.18  , h, 0.03   ,5/2+*         ,16,1951, B-=100
157,640,157Gd,  ,-70823.9     ,   1.0     ,            ,           ,  , , , stbl    ,  ,        ,3/2-*         ,16,1933, IS=15.65 4
157,641,157Gd,m ,-70760.0     ,   1.0     ,   63.916   ,   0.005   ,  , , , 460     ,ns, 40     ,5/2+          ,16,1964, IT=100
157,642,157Gd,n ,-70397.4     ,   1.0     ,  426.539   ,   0.023   ,  , , ,  18.5   ,us, 2.3    ,11/2-         ,16,1961, IT=100
157,650,157Tb,  ,-70763.8     ,   1.0     ,            ,           ,  , , ,  71     , y, 7      ,3/2+          ,16,1960, EC=100
157,660,157Dy,  ,-69425       ,   5       ,            ,           ,  , , ,   8.14  , h, 0.04   ,3/2-*         ,16,1953, B+=100
157,661,157Dy,m ,-69263       ,   5       ,  161.99    ,   0.03    ,  , , ,   1.3   ,us, 0.2    ,9/2+          ,16,1974, IT=100
157,662,157Dy,n ,-69226       ,   5       ,  199.38    ,   0.07    ,  , , ,  21.6   ,ms, 1.6    ,11/2-         ,16,1970, IT=100
157,670,157Ho,  ,-66833       ,  23       ,            ,           ,  , , ,  12.6   , m, 0.2    ,7/2-*         ,16,1966, B+=100
157,680,157Er,  ,-63414       ,  27       ,            ,           ,  , , ,  18.65  , m, 0.10   ,3/2-*         ,16,1966, B+=100
157,681,157Er,m ,-63259       ,  27       ,  155.4     ,   0.3     ,  , , ,  76     ,ms, 6      ,9/2+          ,16,1971, IT=100
157,690,157Tm,  ,-58709       ,  28       ,            ,           ,  ,*, ,   3.63  , m, 0.09   ,1/2+*         ,16,1974, B+=100;A=7.5e-4 25
157,691,157Tm,m ,-58610#      ,  60#      ,  100#      ,  50#      ,  ,*, ,   1.6   , s,        ,7/2-#         ,,2008, B+ ?; IT ?
157,700,157Yb,  ,-53420       ,  11       ,            ,           ,  , , ,  38.6   , s, 1.0    ,7/2-*         ,16,1970, B+~100;A=?
157,710,157Lu,  ,-46440       ,  12       ,            ,           ,  , , ,   7.7   , s, 2.0    ,(1/2+)        ,16,1977, B+ ?;A=?
157,711,157Lu,m ,-46419       ,  12       ,   20.9     ,   2.0     ,AD, , ,   4.79  , s, 0.12   ,(11/2-)       ,16,1972, B+=92.3 19;A=7.7 19
157,720,157Hf,  ,-38860#      , 200#      ,            ,           ,  , , , 115     ,ms, 1      ,7/2-          ,16,1965, A=94 4;B+=14 4
157,730,157Ta,  ,-29600       , 150       ,            ,           ,  , , ,  10.1   ,ms, 0.4    ,1/2+          ,16,1979, A=96.6 12;p=3.4 12;B+ ?
157,731,157Ta,m ,-29570       , 150       ,   22       ,   5       ,AD, , ,   4.3   ,ms, 0.1    ,11/2-         ,16,1996, A~100;B+ ?;p=0
157,732,157Ta,n ,-28000       , 150       , 1593       ,   9       ,AD, , ,   1.7   ,ms, 0.1    ,25/2-#        ,16,1996, A=100
157,740,157W ,  ,-19690#      , 400#      ,            ,           ,  , , , 275     ,ms, 40     ,(7/2-)        ,16,2010, B+=100;A=0
157,743,157W ,p ,-19370#      , 400#      ,  320       ,  30       ,AD, , ,         ,  ,        ,(9/2-)        ,16,2010, IT ?
158,580,158Ce,  ,-36540#      , 400#      ,            ,           ,  , , ,  99     ,ms, 93     ,0+            ,17,2016, B-=100;B-n ?
158,590,158Pr,  ,-44150#      , 300#      ,            ,           ,  , , , 181     ,ms, 14     ,5-#           ,17,2016, B-=100;B-n ?
158,600,158Nd,  ,-53835.1     ,   1.3     ,            ,           ,  , , , 810     ,ms, 30     ,0+            ,17,1992, B-=100
158,601,158Nd,m ,-52187.0     ,   1.9     , 1648.1     ,   1.4     ,  , , , 339     ,ns, 20     ,(6-)          ,17,2016, IT=100
158,610,158Pm,  ,-59106.1     ,   0.9     ,            ,           ,  , , ,   4.8   , s, 0.5    ,"(0+,1+)#      ",17,1987, B-=100
158,611,158Pm,m ,-58960#      ,  50#      ,  150#      ,  50#      ,  , , , >16     ,us,        ,5+#           ,17,2015, IT=?;B- ?
158,620,158Sm,  ,-65252       ,   5       ,            ,           ,  , , ,   5.30  , m, 0.03   ,0+            ,17,1970, B-=100
158,630,158Eu,  ,-67270.5     ,   2.0     ,            ,           ,  , , ,  45.9   , m, 0.2    ,1-*           ,17,1951, B-=100
