Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
84,420,84Mo ,  ,-54170#      , 300#      ,            ,           ,  , , ,   2.3   , s, 0.3    ,0+            ,9,1991, B+=100;B+p ?
84,430,84Tc ,  ,-37700#      , 400#      ,            ,           ,  , , ,         ,  ,        ,1+#           ,,, p ?;B+ ?;B+p ?
85,300,85Zn ,  ,-25100#      , 500#      ,            ,           ,  , , ,  40#    ,ms, >400ns ,5/2+#         ,14,2010, B- ?;B-n ?;B-2n ?
85,310,85Ga ,  ,-39740       ,  40       ,            ,           ,  , , ,  95.3   ,ms, 1.0    ,(5/2-)        ,14,1997, B-=100;B-n=77 4;B-2n=1.3 2
85,320,85Ge ,  ,-53123       ,   4       ,            ,           ,  , , , 495     ,ms, 5      ,"(3/2+,5/2+)#  ",14,1991, B-=100;B-n=17.2 18;B-2n ?
85,330,85As ,  ,-63189       ,   3       ,            ,           ,  , , ,   2.022 , s, 0.007  ,(5/2-)        ,14,1967, B-=100;B-n=62.6 9
85,340,85Se ,  ,-72413.6     ,   2.6     ,            ,           ,  , , ,  32.9   , s, 0.3    ,(5/2)+        ,14,1960, B-=100
85,350,85Br ,  ,-78575       ,   3       ,            ,           ,  , , ,   2.90  , m, 0.06   ,3/2-          ,14,1943, B-=100
85,360,85Kr ,  ,-81480.3     ,   2.0     ,            ,           ,  , , ,  10.728 , y, 0.007  ,9/2+*         ,14,1940, B-=100
85,361,85Kr ,m ,-81175.4     ,   2.0     ,  304.871   ,   0.020   ,  , , ,   4.480 , h, 0.008  ,1/2-*         ,14,1937, B-=78.8 5;IT=21.2 5
85,362,85Kr ,n ,-79488.5     ,   2.0     , 1991.8     ,   0.2     ,  , , ,   1.82  ,us, 0.05   ,(17/2+)       ,14,1989, IT=100
85,370,85Rb ,  ,-82167.341   ,   0.005   ,            ,           ,  , , , stbl    ,  ,        ,5/2-*         ,14,1921, IS=72.17 2
85,371,85Rb ,m ,-81653.335   ,   0.005   ,  514.0065  ,   0.0022  ,  , , ,   1.015 ,us, 0.001  ,9/2+          ,14,1964, IT=100
